1CPI A,Examens Semestriels ELECT,dimanche,20/01/2019,09:00,11:00,02:00,2,02:00,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;
1CPI C,Examens Semestriels ELECT,dimanche,20/01/2019,09:00,11:00,02:00,2,04:00,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;
1CPI B,Examens Semestriels ELECT,dimanche,20/01/2019,09:00,11:00,02:00,2,06:00,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;
2CPI B,Projet 2CP,dimanche,20/01/2019,10:40,12:10,01:30,1.5,07:30,DE-0-AP2 (125);;;;;;;;;;;
2CPI C,Projet 2CP,dimanche,20/01/2019,10:40,12:10,01:30,1.5,09:00,DE-0-AP2 (125);;;;;;;;;;;
2CPI A,Projet 2CP,dimanche,20/01/2019,10:40,12:10,01:30,1.5,10:30,DE-0-AP2 (125);;;;;;;;;;;
1CS A,Examens Semestriels IGL,dimanche,20/01/2019,12:15,14:15,02:00,2,12:30,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S13 (25); DE-0-S14 (25);;;;;;
1CS B,Examens Semestriels IGL,dimanche,20/01/2019,12:15,14:15,02:00,2,14:30,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S13 (25); DE-0-S14 (25);;;;;;
2CPI B,Examen de remplacement ANA3/PRST1,dimanche,20/01/2019,13:00,15:00,02:00,2,16:30,DE-0-S16 (50);;;;;;;;;;;
2CPI C,Examen de remplacement ANA3/PRST1,dimanche,20/01/2019,13:00,15:00,02:00,2,18:30,DE-0-S16 (50);;;;;;;;;;;
2CPI A,Examen de remplacement ANA3/PRST1,dimanche,20/01/2019,13:00,15:00,02:00,2,20:30,DE-0-S16 (50);;;;;;;;;;;
1CPI A,Examens Semestriels TEE,dimanche,20/01/2019,14:30,16:30,02:00,2,22:30,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;
1CPI C,Examens Semestriels TEE,dimanche,20/01/2019,14:30,16:30,02:00,2,24:30,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;
1CPI B,Examens Semestriels TEE,dimanche,20/01/2019,14:30,16:30,02:00,2,26:30,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;
2CPI B,Cours ANA4,lundi,21/01/2019,08:30,10:30,02:00,2,02:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI A,Cours ANA4,lundi,21/01/2019,08:30,10:30,02:00,2,04:00,DE-0-AP2 (125);;;;;;;;;;;
1CS A,Examens Semestriels RES1,lundi,21/01/2019,09:00,11:00,02:00,2,06:00,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S13 (25); DE-0-S14 (25);;;;;;
2CPI C,Cours POO,lundi,21/01/2019,09:00,11:30,02:30,2.5,08:30,DE-0-A1 (100);;;;;;;;;;;
1CS B,Examens Semestriels RES1,lundi,21/01/2019,09:00,11:00,02:00,2,10:30,DE-0-A2 (100); DE-0-A3 (100); DE-0-A4 (75); DE-0-CYB (75); DE-0-S13 (25); DE-0-S14 (25);;;;;;
2CPI B,Examen de remplacement ELECF2,lundi,21/01/2019,10:00,12:00,02:00,2,12:30,DE-0-S16 (50);;;;;;;;;;;
2CPI C,Examen de remplacement ELECF2,lundi,21/01/2019,10:00,12:00,02:00,2,14:30,DE-0-S16 (50);;;;;;;;;;;
2CPI A,Examen de remplacement ELECF2,lundi,21/01/2019,10:00,12:00,02:00,2,16:30,DE-0-S16 (50);;;;;;;;;;;
2CPI B,Cours LOGM,lundi,21/01/2019,10:40,12:10,01:30,1.5,18:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI A,Cours POO,lundi,21/01/2019,10:40,12:10,01:30,1.5,19:30,DE-0-AP2 (125);;;;;;;;;;;
2CPI C,Cours ANA4,lundi,21/01/2019,11:40,12:10,00:30,0.5,20:00,DE-0-A1 (100);;;;;;;;;;;
1CPI A,Examens Semestriels ALG1,lundi,21/01/2019,12:15,14:15,02:00,2,22:00,DE-0-A3 (100); DE-0-S15 (50); DE-0-S16 (50); DE-0-S17 (50); DE-0-S18 (25); DE-0-S19 (25); DE-0-S20 (25); DE-0-S21 (25); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25)
2CS SIT,Examens Semestriels TICO,lundi,21/01/2019,12:15,14:15,02:00,2,24:00,;;;;;;;;;;;
2CS SIT,Examens Semestriels TICO,lundi,21/01/2019,12:15,14:15,02:00,2,26:00,DE-0-A2 (100); DE-0-S11 (25); DE-0-S12 (25); DE-0-S13 (25); DE-0-S14 (25);;;;;;;
1CPI C,Examens Semestriels ALG1,lundi,21/01/2019,12:15,14:15,02:00,2,28:00,DE-0-A3 (100); DE-0-S15 (50); DE-0-S16 (50); DE-0-S17 (50); DE-0-S18 (25); DE-0-S19 (25); DE-0-S20 (25); DE-0-S21 (25); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25)
2CS SIQ G2,Examens Semestriels TSG,lundi,21/01/2019,12:15,14:15,02:00,2,30:00,DE-0-A4 (75);;;;;;;;;;;
2CS SIQ G4,Examens Semestriels HPC,lundi,21/01/2019,12:15,14:15,02:00,2,32:00,DE-0-CP5 (25); DE-0-CP6 (25);;;;;;;;;;
2CS SIL,Examens Semestriels HPC,lundi,21/01/2019,12:15,14:15,02:00,2,34:00,DE-0-CYB (75); DPGR-0-MC (30);;;;;;;;;;
2CPI A,Examen de remplacement ANG,lundi,21/01/2019,12:15,14:15,02:00,2,36:00,;;;;;;;;;;;
1CPI B,Examens Semestriels ALG1,lundi,21/01/2019,12:15,14:15,02:00,2,38:00,DE-0-A3 (100); DE-0-S15 (50); DE-0-S16 (50); DE-0-S17 (50); DE-0-S18 (25); DE-0-S19 (25); DE-0-S20 (25); DE-0-S21 (25); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25)
2CS SIQ G1,Examens Semestriels TSG,lundi,21/01/2019,12:15,14:15,02:00,2,40:00,DE-0-A4 (75);;;;;;;;;;;
2CPI B,Cours POO,lundi,21/01/2019,13:00,15:00,02:00,2,42:00,DE-0-A1 (100);;;;;;;;;;;
2CPI C,Cours PRST1,lundi,21/01/2019,13:00,15:00,02:00,2,44:00,DE-0-AP2 (125);;;;;;;;;;;
2CPI A,Cours LOGM,lundi,21/01/2019,13:00,15:00,02:00,2,46:00,DE-0-AP1 (125);;;;;;;;;;;
2CS SIT,Examens Semestriels BDA,mardi,22/01/2019,09:00,11:00,02:00,2,02:00,DE-0-A2 (100); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30);;;;;;;;
2CS SIQ,Examens Semestriels ANAD,mardi,22/01/2019,12:15,14:15,02:00,2,04:00,DE-0-A2 (100); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30);;;;;;;;
2CS SIL,Examens Semestriels PDC,mardi,22/01/2019,12:15,14:15,02:00,2,06:00,DE-0-A4 (75);;;;;;;;;;;
2CPI A,Examen de remplacement ARCH2,mardi,22/01/2019,12:15,14:15,02:00,2,08:00,;;;;;;;;;;;
2CS SIT,Examens Semestriels SIC,mardi,22/01/2019,14:30,16:30,02:00,2,10:00,DE-0-A2 (100); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30);;;;;;;;
